"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"55(1,G7)","RAC-013-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"56(1,H7)","RAM-015","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"57(1,A8)","RAC-015-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"58(1,B8)","RAC-015-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"59(1,C8)","RAC-015-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"60(1,D8)","RAM-016","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"61(1,E8)","RAC-016-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"62(1,F8)","RAC-016-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"63(1,G8)","RAC-016-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"64(1,H8)","RAM-017","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"65(1,A9)","RAC-017-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
